অইংবা	অ_beg ইং_mid বা_end
উনরুগে	উ_beg ন_mid রু_mid গে_end
উনরুদবগী	উ_beg ন_mid রু_mid দ_mid ব_mid গী_end
উনরুবদগী	উন_beg রু_mid ব_mid দ_mid গী_end
উনরে	উ_beg ন_mid রে_end
উনসি	উ_beg ন_mid সি_end
উনসি	উন_beg সি_end
উনা	উ_beg না_end
উনাদবোইরে	উ_beg না_mid দ_mid বোই_mid রে_end
উনাদুনা	উ_beg না_mid দু_mid না_end
উনিংবতা	উ_beg নিং_mid ব_mid তা_end
উনিংবা	উ_beg নিং_mid বা_end
উনুংদা	উ_beg নুং_mid দা_end
উনৈ	উ_beg নৈ_end
উনৌ	উ_beg নৌ_end
উন্খুইবী	উন্_beg খুই_mid বী_end
উন্গী	উন্_beg গী_end
উন্নখ্রে	উন্_beg ন_mid খ্রে_end
উন্নদুনা	উন্_beg ন_mid দু_mid না_end
উন্নদ্রিঙৈ	উন্_beg ন_mid দ্রি_mid ঙৈ_end
উন্নরুগে	উ_beg ন্ন_mid রু_mid গে_end
উন্শা	উন্_beg শা_end
উপাইদি	উ_beg পাই_mid দি_end
উপাক	উ_beg পাক_end
উপাক্	উ_beg পাক্_end
উপায়	উ_beg পায়_end
উপায়্	উ_beg পায়্_end
উপাল	উ_beg পাল_end
উপাল্	উ_beg পাল্_end
উপু	উ_beg পু_end
উপুদু	উ_beg পু_mid দু_end
উপুনো	উ_beg পু_mid নো_end
উপেন্দ্র	উ_beg পেন্_mid দ্র_end
উপেন্দ্রনা	উ_beg পেন্_mid দ্র_mid না_end
উপেন্দ্রবু	উ_beg পেন্_mid দ্র_mid বু_end
উপ্তনা	উপ্_beg ত_mid না_end
উপ্তবা	উপ্_beg ত_mid বা_end
উপ্থুননা	উপ্_beg থু_mid ন_mid না_end
উপ্পী	উপ্_beg পী_end
উপ্শিল্লে	উপ্_beg শিল্_mid লে_end
উবগা	উ_beg ব_mid গা_end
উবগি	উ_beg ব_mid গি_end
উবদা	উ_beg ব_mid দা_end
উবনে	উ_beg ব_mid নে_end
উবমক্তদা	উ_beg ব_mid মক্_mid ত_mid দা_end
উবরা	উ_beg ব_mid রা_end
উবা	উ_beg বা_end
উবিদুনা	উ_beg বি_mid দু_mid না_end
উমং	উ_beg মং_end
উমংগী	উ_beg মং_mid গী_end
উমংদগী	উ_beg মং_mid দ_mid গী_end
উমংদতা	উ_beg মং_mid দ_mid তা_end
উমংদা	উ_beg মং_mid দা_end
উমংদু	উ_beg মং_mid দু_end
উমংদুগী	উ_beg মং_mid দু_mid গী_end
উমংদুদা	উ_beg মং_mid দু_mid দা_end
উমংলোম্দা	উ_beg মং_mid লোম্_mid দা_end
উমংসিদা	উ_beg মং_mid সি_mid দা_end
উমঙ্লোম্দা	উ_beg মঙ্_mid লোম্_mid দা_end
উম্	উম্_beg
উম্দুনা	উম্_beg দু_mid না_end
উম্লগা	উম্_beg ল_mid গা_end
উম্লম্বা	উম্_beg লম্_mid বা_end
উম্শিন্খ্রে	উম্_beg শিন্_mid খ্রে_end
উরক্লে	উ_beg রক্_mid লে_end
উরগা	উ_beg র_mid গা_end
উরদুনা	উ_beg র_mid দু_mid না_end
উরবদা	উ_beg র_mid ব_mid দা_end
উরবোইরে	উ_beg র_mid বোই_mid রে_end
উরসি	উ_beg র_mid সি_end
উরিপোক	উ_beg রি_mid পোক_end
উরিবা	উ_beg রি_mid বা_end
উরু	উ_beg রু_end
উরুবদদি	উ_beg রু_mid ব_mid দ_mid দি_end
উরুবদা	উ_beg রু_mid ব_mid দা_end
উরুবা	উ_beg রু_mid বা_end
উরুবামী	উ_beg রু_mid বা_mid মী_end
উরুম	উ_beg রুম_end
উরুম্	উ_beg রুম্_end
উরুরে	উ_beg রু_mid রে_end
উরুরেদো	উ_beg রু_mid রে_mid দো_end
উরূ	উ_beg রূ_end
উরে	উ_beg রে_end
উরেদো	উ_beg রে_mid দো_end
উরোক	উ_beg রোক_end
উরোক্	উ_beg রোক্_end
উরোক্কী	উ_beg রোক্_mid কী_end
উরোক্তা	উ_beg রোক্_mid তা_end
উরোক্তু	উ_beg রোক্_mid তু_end
উরোক্না	উ_beg রোক্_mid না_end
উরোক্শিং	উ_beg রোক্_mid শিং_end
উরোক্হোইসিদি	উ_beg রোক্_mid হোই_mid সি_mid দি_end
উরোক্হোয়্সিদি	উ_beg রোক্_mid হোয়্_mid সি_mid দি_end
উল্	উল্_beg
উশাই	উ_beg শাই_end
উশাইগা	উ_beg শাই_mid গা_end
উশাইগী	উ_beg শাই_mid গী_end
উশাইনা	উ_beg শাই_mid না_end
উশা	উ_beg শা_end
উশাগা	উ_beg শা_mid গা_end
উশাদা	উ_beg শা_mid দা_end
উশাদু	উ_beg শা_mid দু_end
উশিত	উ_beg শিত_end
উশিত্	উ_beg শিত্_end
উশিত্তনা	উ_beg শিত্_mid ত_mid না_end
উশিত্তবনিকো	উ_beg শিত্_mid ত_mid ব_mid নি_mid কো_end
উশিত্তবা	উ_beg শিত্_mid ত_mid বা_end
উশিত্তে	উ_beg শিত্_mid তে_end
উশিত্নদে	উ_beg শিত্_mid ন_mid দে_end
উশিত্মন্দে	উ_beg শিত্_mid মন্_mid দে_end
উশিল্লক্লবদা	উ_beg শিল্_mid লক্_mid ল_mid ব_mid দা_end
উশুবা	উ_beg শু_mid বা_end
উহন্দনা	উ_beg হন্_mid দ_mid না_end
উহন্নিংদবা	উ_beg হন্_mid নিং_mid দ_mid বা_end
উহৈ	উ_beg হৈ_end
উহৌবশিং	উ_beg হৌ_mid ব_mid শিং_end
উহৌরদুনা	উ_beg হৌ_mid র_mid দু_mid না_end
ঊত্রোং	ঊ_beg ত্রোং_end
ঊন্শাতনা	ঊন্_beg শা_mid ত_mid না_end
এআরগী	এ_beg আর_mid গী_end
এইদস	এইদস_beg
এইদসনা	এইদস_beg না_end
এ	এ_beg
এএসপিনা	এ_beg এস_mid পি_mid না_end
এক	এক_beg
এককাউন্কি	এক_beg _mid কাউন্_mid কি_end
একজাম	এক_beg জাম_end
একজিক্য়ুতিব	এক_beg জি_mid ক্য়ু_mid তিব_end
একাউন্টকি	এ_beg কাউন্ট_mid কি_end
একাদেমি	এ_beg কা_mid দে_mid মি_end
একাদেমী	এ_beg কা_mid দে_mid মী_end
একাদেমীনা	এ_beg কা_mid দে_mid মী_mid না_end
এক্ক্যূজ	এক্_beg ক্যূজ_end
এক্ট	এক্ট_beg
এক্স	এক্স_beg
এক্সট্রিমিষ্ট	এক্স_beg ট্রি_mid মিষ্ট_end
এক্সতর্নেল	এক্স_beg তর্_mid নেল_end
এক্সন	এক্_beg সন_end
এক্সপ্য়ার	এক্স_beg প্য়ার_end
এক্সপ্রেস	এক্স_beg প্রেস_end
এক্সসিলেন্স	এক্স_beg সি_mid লেন্স_end
এক্সিদেন্ত	এক্_beg সি_mid দেন্ত_end
এক্সিদেন্ততা	এক্_beg সি_mid দেন্ত_mid তা_end
এক্সিদেন্তদা	এক্_beg সি_mid দেন্ত_mid দা_end
এক্সিদেন্তা	এক্_beg সি_mid দেন্_mid তা_end
এক্সিদেন্ত্	এক্_beg সি_mid দেন্ত্_end
এগী	এ_beg গী_end
এগেন্স্ত্	এ_beg গেন্স্ত্_end
এগ্রিমেন্ট	এ_beg গ্রি_mid মেন্ট_end
এগ্রীগী	এ_beg গ্রী_mid গী_end
এজেন্সি	এ_beg জেন্_mid সি_end
এজেন্সিশিংগী	এ_beg জেন্_mid সি_mid শিং_mid গী_end
এঞ্জিনিয়ার	এঞ্_beg জি_mid নি_mid য়ার_end
এঞ্জেলিক	এঞ্_beg জে_mid লিক_end
এটেক	এ_beg টেক_end
এঠলেটশিংগী	এ_beg ঠ_mid লেট_mid শিং_mid গী_end
এডিতোরিয়েলদা	এ_beg ডি_mid তো_mid রি_mid য়েল_mid দা_end
এডিসনেল	এ_beg ডিস_mid নেল_end
এণ্ড	এণ্ড_beg
এত	এত_beg
এতেক	এ_beg তেক_end
এত্তেক	এত্_beg তেক_end
এদজুকেসন	এদ_beg জু_mid কে_mid সন_end
এদজুকেসন্না	এদ_beg জু_mid কে_mid সন্_mid না_end
এদবোকেত	এদ_beg বো_mid কেত_end
এদভোকেটনা	এদ_beg ভো_mid কে_mid ট_mid না_end
এদমিনিস্তেতর	এদ_beg মি_mid নিস্_mid তে_mid তর_end
এদমিরেল	এদ_beg মি_mid রেল_end
এদমোসফিয়রদা	এদ_beg মোস_mid ফি_mid য়র_mid দা_end
এদো	এ_beg দো_end
এদ্জুকেসন	এদ্_beg জু_mid কে_mid সন_end
এদ্মিনিস্ত্রেদ	এদ্_beg মি_mid নিস্_mid ত্রেদ_end
এন	এন_beg
এনজি	এন_beg জি_end
এনপিও	এন_beg পি_mid ও_end
এনফোর্সমেন্ত	এন_beg ফোর্স_mid মেন্ত_end
এনহোনী	এন_beg হো_mid নী_end
এনা	এ_beg না_end
এন্টি	এন্_beg টি_end
এন্তিতেরোরিজম	এন্_beg তি_mid তে_mid রো_mid রি_mid জম_end
এন্দ	এন্দ_beg
এন্দিং	এন্_beg দিং_end
এন্য়ুএল	এন্_beg য়ু_mid এল_end
এপেল্লেট	এ_beg পে_mid ল্লেট_end
এপোল্লো	এ_beg পোল্_mid লো_end
এপ্রুব	এ_beg প্রুব_end
এপ্লাই	এ_beg প্লাই_end
এফ	এফ_beg
এফকি	এ_beg ফ_mid কি_end
এফকী	এফ_beg কী_end
এফনা	এফ_beg না_end
এফশিং	এফ_beg _mid শিং_end
এফিয়র্স	এ_beg ফি_mid য়র্স_end
এফিয়র্সনা	এ_beg ফি_mid য়র্স_mid না_end
এফিয়ার্স	এ_beg ফি_mid য়ার্স_end
এব্য়ুজ	এব্_beg য়ুজ_end
এমএফএলগী	এম_beg এফ_mid এল_mid গী_end
এম	এম_beg
এমএলএ	এম_beg এল_mid এ_end
এমগী	এম_beg গী_end
এমদা	এম_beg দা_end
এমসু	এম_beg সু_end
এমসুগী	এম_beg সু_mid গী_end
এমসুবু	এম_beg সু_mid বু_end
এমসূ	এম_beg সূ_end
এম্মোনিয়ম	এম্_beg মো_mid নি_mid য়ম_end
এয়রক্রাফ	এ_beg য়র_mid ক্রাফ_end
এরিয়া	এ_beg রি_mid য়া_end
এরিয়াদা	এ_beg রি_mid য়া_mid দা_end
এরিয়াস	এ_beg রি_mid য়াস_end
এরোপ্নেন্দা	এ_beg রো_mid প্নেন্_mid দা_end
এল	এল_beg
এলগী	এল_beg গী_end
এলাইজ	এ_beg লাইজ_end
এলাজ	এ_beg লাজ_end
এৱার্দ	এ_beg ৱার্দ_end
এস	এস_beg
এসএসবিগী	এস_beg এস_mid বি_mid গী_end
এসতা	এস_beg তা_end
এসনা	এ_beg স_mid না_end
এসিগী	এ_beg সি_mid গী_end
এসিশ্তেন্ত	এ_beg সিশ্_mid তেন্ত_end
এসিষ্টেন্ট	এ_beg সিষ্_mid টেন্ট_end
এসেমব্লি	এ_beg সেম_mid ব্লি_end
এসেমব্লিগী	এ_beg সেম_mid ব্লি_mid গী_end
এসেমব্লিদা	এ_beg সেম_mid ব্লি_mid দা_end
এসেমব্লিনা	এ_beg সেম_mid ব্লি_mid না_end
এসোসিএসন	এ_beg সো_mid সি_mid এ_mid সন_end
এসোসিএসনগী	এ_beg সো_mid সি_mid এ_mid সন_mid গী_end
এসোসিএসননা	এ_beg সো_mid সি_mid এ_mid সন_mid না_end
এসোসিএসন্না	এ_beg সো_mid সি_mid এ_mid সন্_mid না_end
এসোসিয়েসন	এ_beg সো_mid সি_mid য়ে_mid সন_end
ঐ	ঐ_beg
ঐকোয়্না	ঐ_beg কোয়্_mid না_end
ঐখোইগী	ঐ_beg খোই_mid গী_end
ঐখোয়	ঐ_beg খোয়_end
ঐখোয়গী	ঐ_beg খোয়_mid গী_end
ঐখোয়না	ঐ_beg খোয়_mid না_end
ঐখোয়সি	ঐ_beg খোয়_mid সি_end
ঐখোয়্	ঐ_beg খোয়্_end
ঐখোয়্কাদি	ঐ_beg খোয়্_mid কা_mid দি_end
ঐখোয়্গা	ঐ_beg খোয়্_mid গা_end
ঐখোয়্গী	ঐ_beg খোয়্_mid গী_end
ঐখোয়্গুম্বা	ঐ_beg খোয়্_mid গুম্_mid বা_end
ঐখোয়্দকা	ঐ_beg খোয়্_mid দ_mid কা_end
ঐখোয়্দি	ঐ_beg খোয়্_mid দি_end
ঐখোয়্না	ঐ_beg খোয়্_mid না_end
ঐখোয়্বু	ঐ_beg খোয়্_mid বু_end
ঐখোয়্সি	ঐ_beg খোয়্_mid সি_end
ঐখোয়্সিবু	ঐ_beg খোয়্_mid সি_mid বু_end
ঐখোয়্সিসু	ঐ_beg খোয়্_mid সি_mid সু_end
ঐখোয়্সু	ঐ_beg খোয়্_mid সু_end
ঐখোয়্সে	ঐ_beg খোয়্_mid সে_end
ঐগগী	ঐ_beg গ_mid গী_end
ঐগা	ঐ_beg গা_end
ঐগী	ঐ_beg গী_end
ঐগীদমক্তা	ঐ_beg গী_mid দ_mid মক্_mid তা_end
ঐগীদা	ঐ_beg গী_mid দা_end
ঐগীদি	ঐ_beg গী_mid দি_end
ঐগীনি	ঐ_beg গী_mid নি_end
ঐগীসু	ঐ_beg গী_mid সু_end
ঐগীসে	ঐ_beg গী_mid সে_end
ঐগুম্বনা	ঐ_beg গুম্_mid ব_mid না_end
ঐগুম্বা	ঐ_beg গুম্_mid বা_end
ঐগ্য়া	ঐ_beg গ্য়া_end
ঐগ্য়াদু	ঐ_beg গ্য়া_mid দু_end
ঐগ্য়াদুনা	ঐ_beg গ্য়া_mid দু_mid না_end
ঐঙোন্দগী	ঐ_beg ঙোন্_mid দ_mid গী_end
ঐঙোন্দদি	ঐ_beg ঙোন্_mid দ_mid দি_end
ঐঙোন্দা	ঐ_beg ঙোন্_mid দা_end
ঐচ	ঐচ_beg
ঐট	ঐট_beg
ঐতা	ঐ_beg তা_end
ঐদা	ঐ_beg দা_end
ঐদি	ঐ_beg দি_end
ঐদী	ঐ_beg দী_end
ঐনবু	ঐ_beg ন_mid বু_end
ঐনা	ঐ_beg না_end
ঐনি	ঐ_beg নি_end
ঐনিনে	ঐ_beg নি_mid নে_end
ঐবু	ঐ_beg বু_end
ঐবুনি	ঐ_beg বু_mid নি_end
ঐবুসু	ঐ_beg বু_mid সু_end
